video_id,username,video_description,hashtag_names,view_count,like_count,comment_count,share_count,create_time,region_code,music_id,voice_to_text,url,retrieval,availability,profile.likes_count,profile.video_count,profile.avatar_url,profile.bio_description,profile.display_name,profile.follower_count,profile.following_count,profile.is_verified,addiction_language,addiction_nssi,addiction_relapsing,addiction_sobriety,algospeak,algospeak_abbreviation,algospeak_symbols,algospeak_coverup,algospeak_misspelling,algospeak_characters,algospeak_term,explicit_language,explicit_cut,explicit_instrument,explicit_scars,explicit_self_harm,visible_scars,scars_bandaged,scars_drawn,scars_fresh,scars_healed,signaling,signaling_abstract,signaling_blood,signaling_body,signaling_clothing,signaling_imagery,signaling_lyric,signaling_summer,trigger_warning
sh1,izzyllewellyn,"keep going every single day. its been a little while now since the last time i relapsed. im here for anyone, and i mean ANYONE struggling, with anything. even if its small. i love you all ♡ #fyp#foryoupage#sh#shawareness#foryou#fypシ#mentalhealthmatterd#mentalhealth 🩷","['sh', 'foryou', 'fyp', 'mentalhealth', 'shawareness', 'foryoupage', 'fypシ', 'mentalhealthmatterd']",61,290,54,0,1711410434,GB,7.02E+18,,https://www.tiktok.com/@izzyllewellyn/video/7350451765365558561,Downloaded,Available,70147,58,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/df2ecc9bc00e269b0d6459e97ad42175~c5_168x168.jpeg?lk3s=a5d48078&nonce=91215&refresh_token=19013be3c5f05f952d97bba88df16ded&x-expires=1723060800&x-signature=PLmQgWN9xC8fS2BfXSe4FuL94aA%3D&shp=a5d48078&shcp=8aecc5ac,i post then cringe myself out x,𝐈𝐒𝐀𝐁𝐄𝐋🎀,2918,3875,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sh2,pinkxthoughtsx2,2 months🙂#pinkxthoughtsx2 #pinkthoughts #fyp #fypviral #xyzbca #abcxyz #follow #real #viral #relatable #sh ,"['follow', 'relatable', 'real', 'viral', 'sh', 'fyp', 'abcxyz', 'fypviral', 'xyzbca', 'pinkthoughts', 'pinkxthoughtsx2']",0,11,3,0,1711409418,IE,7.29E+18,,https://www.tiktok.com/@pinkxthoughtsx2/video/7350447328202968352,Downloaded,Available,2863,38,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-euttp/b1a73dab89c6bac2d22a5d08305e87dc~c5_168x168.jpeg?lk3s=a5d48078&nonce=43998&refresh_token=e87a7acf4dbf994e7a459850a35e8f20&x-expires=1723060800&x-signature=3MpU6liDxosrfPkadx9nOaMi2WY%3D&shp=a5d48078&shcp=8aecc5ac,tysm for 50 followers!!🩷,𝐏𝐢𝐧𝐤 𝐭𝐡𝐨𝐮𝐠𝐡𝐭𝐬💗,71,5,FALSE,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sh3,always_here_ml,mental issues..#vent #ventaccount #meantalhealth #meantalhealthawareness #mh #selfharm #tw #sh #possessive #obsessive #bpd ,"['mh', 'sh', 'tw', 'selfharm', 'obsessive', 'meantalhealth', 'possessive', 'vent', 'bpd', 'ventaccount', 'meantalhealthawareness']",4,37,12,0,1711409310,GB,7.35E+18,,https://www.tiktok.com/@always_here_ml/video/7350446965013876001,Downloaded,Unavailable,2017,0,https://p77-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_168x168.jpeg?lk3s=a5d48078&nonce=83163&refresh_token=ec4304742d7adb5f95626c81e947ca05&x-expires=1723060800&x-signature=LwNk%2B5cCiMR2wodhg5jgJd4N4KU%3D&shp=a5d48078&shcp=8aecc5ac,No bio yet,user02495446556,41,20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
sh4,...rarw,#sh #mentalhealth #fyp #vent? #foryoupage #reletable ,"['sh', 'reletable', 'fyp', 'mentalhealth', 'foryoupage', 'vent?']",21,124,27,0,1711409154,NO,7.12E+18,,https://www.tiktok.com/@...rarw/video/7350446281917058336,Downloaded,Available,42138,197,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_168x168.jpeg?lk3s=a5d48078&nonce=30711&refresh_token=f60a45476c39c43a6e7afd35d377de07&x-expires=1723060800&x-signature=Ew2WEZdMiW4RxCAiC4vchmU1oJ4%3D&shp=a5d48078&shcp=8aecc5ac,"you know where to find me...


@Aurora",batman,60,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
sh5,_slutforlex_,#mh #$h #sh #mentalhealth #selfharm #relapse #fypシ #real ,"['mh', 'real', 'sh', 'relapse', 'selfharm', 'mentalhealth', 'fypシ']",0,47,14,0,1711409087,GB,7.12E+18,,https://www.tiktok.com/@_slutforlex_/video/7350446006569291041,Downloaded,Available,,,,,,,,TRUE,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sh6,venttingsss,#goviraltiktok #sh #mh #mentalhealthhospital #imnotokay #imokay #iamsober #relatable #fyp #fyp #hi #pain ,"['relatable', 'mh', 'hi', 'pain', 'sh', 'imokay', 'imnotokay', 'iamsober', 'fyp', 'mentalhealthhospital', 'goviraltiktok']",312,30,5,1,1711408656,AU,7.32E+18,,https://www.tiktok.com/@venttingsss/video/7350444134198545671,Downloaded,Unavailable,20317,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_168x168.jpeg?lk3s=a5d48078&nonce=18870&refresh_token=ac22f1ae287edf37a3fcec2e4885ade9&x-expires=1723060800&x-signature=Ew2WEZdMiW4RxCAiC4vchmU1oJ4%3D&shp=a5d48078&shcp=8aecc5ac,No bio yet,user62305139872,1202,871,FALSE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
sh7,ventwithme_88,#room #bed #class #alone #sunset #mh #slideshow #mentalhealthmatters #sh #psycward #scars #bridge ,"['alone', 'class', 'mh', 'sunset', 'bed', 'scars', 'bridge', 'sh', 'slideshow', 'room', 'mentalhealthmatters', 'psycward']",0,7,3,0,1711408045,GB,7.19E+18,,https://www.tiktok.com/@ventwithme_88/video/7350441529376345376,Downloaded,Unavailable,,,,,,,,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
sh8,justus_idk,#sh #coping #mechnism #real #relatable #fyp ,"['relatable', 'real', 'sh', 'coping', 'fyp', 'mechnism']",29,42,14,0,1711408025,US,7.32E+18,,https://www.tiktok.com/@justus_idk/video/7350441412975922475,Downloaded,Available,20950,187,https://p19-pu-sign-useast8.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/1e97cfd44381953bb0f50348ec241573~c5_168x168.jpeg?lk3s=a5d48078&nonce=59409&refresh_token=21468fd4bdb5226da0eb8cacce07e5b0&x-expires=1723060800&x-signature=OcwU12sT%2F64tG4iNjJwCTlv8iyA%3D&shp=a5d48078&shcp=8aecc5ac,"God✝️
Him>>
 24🥎",chol🎀,259,133,FALSE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sh9,always_here_ml,Familiar way..#vent #ventaccount #meantalhealth #meantalhealthawareness #mh  #selfharm #tw #sh ,"['mh', 'sh', 'tw', 'selfharm', 'meantalhealth', 'vent', 'ventaccount', 'meantalhealthawareness']",8,56,22,0,1711407969,GB,6.86E+18,,https://www.tiktok.com/@always_here_ml/video/7350441218947419425,Downloaded,Unavailable,2017,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~c5_168x168.jpeg?lk3s=a5d48078&nonce=56161&refresh_token=f5793ade7c6ead59441a0d1f4f660e32&x-expires=1723060800&x-signature=Ew2WEZdMiW4RxCAiC4vchmU1oJ4%3D&shp=a5d48078&shcp=8aecc5ac,No bio yet,user02495446556,41,20,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sh10,alsomentallyundtsble,it is what it is...#icant #xybca #mpesfypgamw #aesthetic #memory #sh #view #wanna #myself #kil #relatable #mentalhealth #mentalhealthmatters #slideshow #foryourpage #foryoupage #iamsober #app #cut ,"['relatable', 'wanna', 'myself', 'aesthetic', 'icant', 'sh', 'slideshow', 'app', 'view', 'cut', 'memory', 'iamsober', 'kil', 'mentalhealth', 'mentalhealthmatters', 'foryoupage', 'foryourpage', 'xybca', 'mpesfypgamw']",0,19,3,0,1711407814,GR,7.19E+18,,https://www.tiktok.com/@alsomentallyundtsble/video/7350440547938553121,Downloaded,Available,28177,13,https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/dc02d68d8f306ee213c9ccc8ae47836b~c5_168x168.jpeg?lk3s=a5d48078&nonce=21547&refresh_token=e783e76ec2cdbedb185a49d9ecb04dd8&x-expires=1723060800&x-signature=TcleTfaptNkJx%2FlFSGZCPaeCtTY%3D&shp=a5d48078&shcp=8aecc5ac,venting,uhmm,447,15,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
